slug;name_en;name_ru
cable-rope-pushdown;Cable Rope Pushdown;С канатом разгибание рук вниз на блоке
cable-rope-rolling-pushdown;Cable Rope Rolling Pushdown;С канатом с прокатом разгибание рук вниз на блоке
cable-rope-single-arm-low-lateral-raise;Cable Rope Single Arm Low Lateral Raise;С канатом одной рукой нижний подъём рук в стороны на блоке
cable-rope-skullcrusher;Cable Rope Skullcrusher;С канатом французский жим лёжа на блоке
cable-rope-standing-crunch;Cable Rope Standing Crunch;С канатом стоя скручивание на блоке
cable-rope-upright-row;Cable Rope Upright Row;С канатом тяга к подбородку на блоке
cable-row-bar-kneeling-crunch;Cable Row Bar Kneeling Crunch;Тяга с прямой рукоятью на коленях скручивание на блоке
cable-row-bar-standing-row;Cable Row Bar Standing Row;Тяга с прямой рукоятью стоя тяга на блоке
cable-seated-bar-face-pull;Cable Seated Bar Face Pull;Сидя с прямой рукоятью тяга к лицу на блоке
cable-seated-bayesian-curl;Cable Seated Bayesian Curl;Сидя сгибание рук по Байесу на блоке
cable-seated-bayesian-hammer-curl;Cable Seated Bayesian Hammer Curl;Сидя молотковое сгибание рук по Байесу на блоке
cable-seated-bayesian-reverse-curl;Cable Seated Bayesian Reverse Curl;Сидя обратное сгибание рук по Байесу на блоке
cable-seated-leg-curl;Cable Seated Leg Curl;Сидя сгибание ног на блоке
cable-seated-leg-extension;Cable Seated Leg Extension;Сидя разгибание ног на блоке
cable-seated-rope-face-pull;Cable Seated Rope Face Pull;Сидя с канатом тяга к лицу на блоке
cable-seated-single-arm-face-pull;Cable Seated Single Arm Face Pull;Сидя одной рукой тяга к лицу на блоке
cable-side-bend;Cable Side Bend;Наклон в сторону на блоке
cable-silverback-shrug;Cable Silverback Shrug;Шраги «сильвербэк» на блоке
cable-single-arm-30-degree-shrug;Cable Single Arm 30 Degree Shrug;Одной рукой шраги под углом 30 градусов на блоке
cable-single-arm-bayesian-curl;Cable Single Arm Bayesian Curl;Одной рукой сгибание рук по Байесу на блоке
cable-single-arm-bench-chest-fly;Cable Single Arm Bench Chest Fly;Одной рукой на скамье разведение рук на грудь на блоке
cable-single-arm-bench-press;Cable Single Arm Bench Press;Одной рукой жим лёжа на блоке
cable-single-arm-cross-pushdown;Cable Single Arm Cross Pushdown;Одной рукой перекрёстный разгибание рук вниз на блоке
cable-single-arm-decline-bench-chest-fly;Cable Single Arm Decline Bench Chest Fly;Одной рукой на скамье с отрицательным наклоном на скамье разведение рук на грудь на блоке
cable-single-arm-face-pull;Cable Single Arm Face Pull;Одной рукой тяга к лицу на блоке
cable-single-arm-hammer-curl;Cable Single Arm Hammer Curl;Одной рукой молотковое сгибание рук на блоке
cable-single-arm-incline-bench-press;Cable Single Arm Incline Bench Press;Одной рукой жим лёжа на наклонной скамье на блоке
cable-single-arm-incline-chest-fly;Cable Single Arm Incline Chest Fly;Одной рукой на наклонной скамье разведение рук на грудь на блоке
cable-single-arm-internally-rotated-high-reverse-fly;Cable Single Arm Internally Rotated High Reverse Fly;Одной рукой с внутренней ротацией верхний обратное разведение рук на блоке
cable-single-arm-lat-prayer;Cable Single Arm Lat Prayer;Одной рукой молитвенная тяга на широчайшие на блоке
cable-single-arm-neutral-grip-row;Cable Single Arm Neutral Grip Row;Одной рукой нейтральным хватом хват тяга на блоке
cable-single-arm-overhead-tricep-extension;Cable Single Arm Overhead Tricep Extension;Одной рукой разгибание рук на трицепс над головой на блоке
cable-single-arm-pushdown;Cable Single Arm Pushdown;Одной рукой разгибание рук вниз на блоке
cable-single-arm-rear-delt-row;Cable Single Arm Rear Delt Row;Одной рукой тяга на заднюю дельту на блоке
cable-single-arm-reverse-curl;Cable Single Arm Reverse Curl;Одной рукой обратное сгибание рук на блоке
cable-single-arm-rolling-pushdown;Cable Single Arm Rolling Pushdown;Одной рукой с прокатом разгибание рук вниз на блоке
cable-single-arm-rope-pushdown;Cable Single Arm Rope Pushdown;Одной рукой с канатом разгибание рук вниз на блоке
cable-single-arm-skullcrusher;Cable Single Arm Skullcrusher;Одной рукой французский жим лёжа на блоке
cable-single-arm-underhand-grip-row;Cable Single Arm Underhand Grip Row;Одной рукой обратным хватом хват тяга на блоке
cable-single-leg-deadlift;Cable Single Leg Deadlift;Становая тяга на одной ноге на блоке
cable-single-leg-laying-leg-curl;Cable Single Leg Laying Leg Curl;Одной ноги лёжа сгибание ног на блоке
cable-split-squat;Cable Split Squat;Сплит-присед на блоке
cable-standing-crunch;Cable Standing Crunch;Стоя скручивание на блоке
cable-standing-glute-kickback;Cable Standing Glute Kickback;Стоя отведение ноги назад на ягодицы на блоке
cable-standing-high-to-low-wood-chopper;Cable Standing High To Low Wood Chopper;Стоя сверху вниз дровосек на блоке
cable-standing-hip-abduction;Cable Standing Hip Abduction;Стоя отведение бедра на блоке
cable-standing-hip-adduction;Cable Standing Hip Adduction;Стоя приведение бедра на блоке
cable-standing-leg-extension;Cable Standing Leg Extension;Стоя разгибание ног на блоке
cable-standing-low-to-high-wood-chopper;Cable Standing Low To High Wood Chopper;Стоя снизу вверх дровосек на блоке
cable-standing-mid-kickback;Cable Standing Mid Kickback;Стоя средний отведение назад на блоке
cable-standing-single-arm-chest-fly;Cable Standing Single Arm Chest Fly;Стоя одной рукой разведение рук на грудь на блоке
cable-standing-single-arm-chest-press;Cable Standing Single Arm Chest Press;Стоя одной рукой жим от груди на блоке
cable-standing-single-arm-cross-rear-delt-row;Cable Standing Single Arm Cross Rear Delt Row;Стоя одной рукой перекрёстный тяга на заднюю дельту на блоке
cable-standing-single-arm-incline-chest-fly;Cable Standing Single Arm Incline Chest Fly;Стоя одной рукой на наклонной скамье разведение рук на грудь на блоке
cable-standing-single-arm-incline-chest-press;Cable Standing Single Arm Incline Chest Press;Стоя одной рукой на наклонной скамье жим от груди на блоке
cable-standing-single-arm-internally-rotated-chest-fly;Cable Standing Single Arm Internally Rotated Chest Fly;Стоя одной рукой с внутренней ротацией разведение рук на грудь на блоке
cable-standing-single-arm-internally-rotated-incline-chest-fly;Cable Standing Single Arm Internally Rotated Incline Chest Fly;Стоя одной рукой с внутренней ротацией на наклонной скамье разведение рук на грудь на блоке
cable-standing-straight-leg-glute-kickback;Cable Standing Straight Leg Glute Kickback;Стоя прямой ноги отведение ноги назад на ягодицы на блоке
cable-standing-straight-leg-mid-kickback;Cable Standing Straight Leg Mid Kickback;Стоя прямой ноги средний отведение назад на блоке
cable-straight-arm-pull-in;Cable Straight Arm Pull In;Тяга прямой рукой внутрь на блоке
cable-supinating-row;Cable Supinating Row;С супинацией тяга на блоке
cable-tricep-kickback;Cable Tricep Kickback;Отведение руки назад на трицепс на блоке
cable-twisting-curl;Cable Twisting Curl;Сгибание рук с поворотом на блоке
cable-upright-row;Cable Upright Row;Тяга к подбородку на блоке
cable-wood-chopper;Cable Wood Chopper;Дровосек на блоке
cable-wrist-curl;Cable Wrist Curl;Сгибание запястий на блоке
cable-wrist-extension;Cable Wrist Extension;Разгибание запястий на блоке
cable-zercher-good-morning;Cable Zercher Good Morning;Зерхера наклон «доброе утро» на блоке
cable-zercher-squat;Cable Zercher Squat;Зерхера приседание на блоке
calf-isometric-on-step;Calf Isometric On Step;Икр изометрический на ступеньке
calf-mobilisation-seated-floor-roll;Calf Mobilisation Seated Floor Roll;Икр мобилизация сидя на полу раскатывание
calf-raise-1a-bilateral-eccentric-floor;Calf Raise 1A Bilateral Eccentric Floor;Подъём на носки 1A двусторонний эксцентрический на полу
calf-raise-1b-bilateral-floor;Calf Raise 1B Bilateral Floor;Подъём на носки 1B двусторонний на полу
calf-raise-1c-bilateral-eccentric-from-box;Calf Raise 1C Bilateral Eccentric From Box;Подъём на носки 1C двусторонний эксцентрический с коробке
calf-raise-1d-bilateral-from-box;Calf Raise 1D Bilateral From Box;Подъём на носки 1D двусторонний с коробке
calf-raise-1e-bilateral-isometric-floor;Calf Raise 1E Bilateral Isometric Floor;Подъём на носки 1E двусторонний изометрический на полу
calf-raise-2a-eccentric-unilateral-floor;Calf Raise 2A Eccentric Unilateral Floor;Подъём на носки 2A эксцентрический односторонний на полу
calf-raise-2b-unilateral-floor;Calf Raise 2B Unilateral Floor;Подъём на носки 2B односторонний на полу
calf-raise-2c-eccentric-unilateral-from-box;Calf Raise 2C Eccentric Unilateral From Box;Подъём на носки 2C эксцентрический односторонний с коробке
calf-raise-2d-unilateral-from-box;Calf Raise 2D Unilateral From Box;Подъём на носки 2D односторонний с коробке
calf-raise-3a-soleus-bias-bilateral;Calf Raise 3A Soleus Bias Bilateral;Подъём на носки 3A камбаловидной мышцы с акцентом двусторонний
calf-raise-3b-soleus-bias-unilateral;Calf Raise 3B Soleus Bias Unilateral;Подъём на носки 3B камбаловидной мышцы с акцентом односторонний
calf-raise-isometric-unilateral;Calf Raise Isometric Unilateral;Подъём на носки изометрический односторонний
calf-raises;Calf Raises;Подъёмы на носки
calf-stretch-on-box-bilateral;Calf Stretch On Box Bilateral;Икр растяжка на на коробке двусторонний
calves-stretch-variation-one;Calves Stretch Variation One;Растяжка икроножных мышц, вариант 1
calves-stretch-variation-three;Calves Stretch Variation Three;Растяжка икроножных мышц, вариант 3
calves-stretch-variation-two;Calves Stretch Variation Two;Растяжка икроножных мышц, вариант 2
cardio-assault-bike;Cardio Assault Bike;Эйрбайк
cardio-assault-bike-arms-only;Cardio Assault Bike Arms Only;Эйрбайк только руками
cardio-band-hammer-curl-jacks;Cardio Band Hammer Curl Jacks;С резиновой лентой молотковое сгибание рук джек
cardio-band-press-jacks;Cardio Band Press Jacks;С резиновой лентой жим джек
cardio-band-reverse-fly-jacks;Cardio Band Reverse Fly Jacks;С резиновой лентой обратное разведение рук джек
cardio-band-seal-jacks;Cardio Band Seal Jacks;Прыжки seal jack с резиновой лентой
cardio-box-quick-feet;Cardio Box Quick Feet;Быстрые шаги на коробке
cardio-criss-cross-jacks;Cardio Criss Cross Jacks;Прыжки крест-накрест
cardio-diamond-hop;Cardio Diamond Hop;Алмазные прыжок
cardio-figure-eight-sprint;Cardio Figure Eight Sprint;Спринт восьмёркой
cardio-forward-scissor;Cardio Forward Scissor;Ножницы вперёд
cardio-in-and-out-forward;Cardio In And Out Forward;Прыжки внутрь-наружу с продвижением вперёд
cardio-in-and-outs;Cardio In And Outs;Прыжки внутрь-наружу
cardio-in-in-out-out-shuffle;Cardio In In Out Out Shuffle;Шаффл внутрь-внутрь-наружу-наружу
cardio-jumping-jacks;Cardio Jumping Jacks;Прыжки джампинг-джек
cardio-karaoke;Cardio Karaoke;Бег караоке
cardio-knee-taps;Cardio Knee Taps;Касания коленей
cardio-lateral-quick-feet;Cardio Lateral Quick Feet;Быстрые боковые шаги
cardio-lateral-shuffle;Cardio Lateral Shuffle;Боковой шаффл
cardio-long-jump;Cardio Long Jump;Длинный прыжок
cardio-long-jump-shuffle-back;Cardio Long Jump Shuffle Back;Длинный прыжок шаффл спиной
cardio-quick-feet;Cardio Quick Feet;Быстрые шаги
cardio-row-erg-rower;Cardio Row Erg Rower;Гребной тренажёр
cardio-row-erg-rower-arms-only;Cardio Row Erg Rower Arms Only;Гребной тренажёр только руками
cardio-row-erg-rower-four-stroke-sprint-start;Cardio Row Erg Rower Four Stroke Sprint Start;Гребной тренажёр: спринтерский старт на 4 гребка
cardio-row-erg-rower-legs-only;Cardio Row Erg Rower Legs Only;Гребной тренажёр только ногами
cardio-seal-jacks;Cardio Seal Jacks;Прыжки seal jack
cardio-shuttle-sprint;Cardio Shuttle Sprint;Челночный спринт
cardio-single-leg-forward-hop;Cardio Single Leg Forward Hop;Одной ноги вперёд прыжок
cardio-single-leg-lateral-hop;Cardio Single Leg Lateral Hop;Одной ноги боковой прыжок
cardio-skater;Cardio Skater;Конькобежец
cardio-skater-to-single-leg-burpee;Cardio Skater To Single Leg Burpee;Конькобежец с переходом в бёрпи на одной ноге
cardio-ski-erg;Cardio Ski Erg;Лыжный эргометр
cardio-sprint-in-place;Cardio Sprint In Place;Спринт на месте
cardio-step-out-jacks;Cardio Step Out Jacks;Джампинг-джек с шагом в сторону
cardio-three-step-heismans;Cardio Three Step Heismans;Хейсман в три шага
cat-pose;Cat Pose;Поза кошки
chair-pose;Chair Pose;Поза стула
chest-stretch-variation-four;Chest Stretch Variation Four;Растяжка грудных мышц, вариант 4
chest-stretch-variation-one;Chest Stretch Variation One;Растяжка грудных мышц, вариант 1
chest-stretch-variation-three;Chest Stretch Variation Three;Растяжка грудных мышц, вариант 3
chest-stretch-variation-two;Chest Stretch Variation Two;Растяжка грудных мышц, вариант 2
child-pose-arms-extended;Child Pose Arms Extended;Поза ребёнка с вытянутыми руками
child-pose-arms-extended-left-right;Child Pose Arms Extended Left Right;Поза ребёнка с вытянутыми руками влево-вправо
child-pose-arms-on-side;Child Pose Arms On Side;Поза ребёнка с руками сбоку
child-pose-elbows-on-block;Child Pose Elbows On Block;Поза ребёнка с локтями на блоке
chin-ups;Chin Ups;Подтягивания обратным хватом
clamshells-1-side-lying;Clamshells 1 Side Lying;Ракушки 1 лёжа на боку
clamshells-2-side-lying;Clamshells 2 Side Lying;Ракушки 2 лёжа на боку
clamshells-3-internal-external-rotations-side-lying;Clamshells 3 Internal External Rotations Side Lying;Ракушки 3: внутренняя и внешняя ротация лёжа на боку
clamshells-4-side-lying-resisted;Clamshells 4 Side Lying Resisted;Ракушки 4 лёжа на боку с сопротивлением
clock-taps;Clock Taps;Касания по часам
cobra-pose;Cobra Pose;Поза кобры
cobra-stretch-1;Cobra Stretch 1;Растяжка кобра 1
cobra-stretch-2;Cobra Stretch 2;Растяжка кобра 2
core-stability-1-crosslateral-limb-raise-4pt-position;Core Stability 1 Crosslateral Limb Raise 4Pt Position;Стабилизация кора 1: перекрёстный подъём конечностей в упоре на четвереньках
core-stability-2-opposite-shoulder-tap-4pt-position;Core Stability 2 Opposite Shoulder Tap 4Pt Position;Стабилизация кора 2: касание противоположного плеча в упоре на четвереньках
core-stability-4-crosslateral-limb-raise-push-up-position;Core Stability 4 Crosslateral Limb Raise Push Up Position;Стабилизация кора 4: перекрёстный подъём конечностей в положении отжимания
core-stability-5-crosslateral-limb-raise-into-knee-elbow-tuck-push-up-position;Core Stability 5 Crosslateral Limb Raise Into Knee Elbow Tuck Push Up Position;Стабилизация кора 5: перекрёстный подъём конечностей с подтягиванием колена к локтю в положении отжимания
core-stability-regression-crosslateral-limb-raise-push-up-position;Core Stability Regression Crosslateral Limb Raise Push Up Position;Регрессия стабилизации кора: перекрёстный подъём конечностей в положении отжимания
corpse-pose;Corpse Pose;Поза трупа
crescent-moon-pose;Crescent Moon Pose;Поза полумесяца
crescent-moon-pose-quad-stretch;Crescent Moon Pose Quad Stretch;Поза полумесяца с растяжкой квадрицепса
crescent-moon-pose-quad-stretch-with-block;Crescent Moon Pose Quad Stretch With Block;Поза полумесяца с растяжкой квадрицепса и блоком
criss-cross-bow-tie-pose;Criss Cross Bow Tie Pose;Поза бабочки крест-накрест
crosslateral-core-stabilisation-unilateral-load-kettlebell;Crosslateral Core Stabilisation Unilateral Load Kettlebell;Перекрёстная стабилизация кора с односторонней нагрузкой гирей
crow-pose;Crow Pose;Поза ворона
crunches;Crunches;Скручивания
curtsy-lunge;Curtsy Lunge;Выпад-реверанс
curve-treadmill;Curve Treadmill;Изогнутая беговая дорожка
dead-bug;Dead Bug;Мёртвый жук
dead-bugs-cross-lateral;Dead Bugs Cross Lateral;Мёртвые жуки перекрёстно
dead-bugs-same-side;Dead Bugs Same Side;Мёртвые жуки на одной стороне
dead-hang;Dead Hang;Вис на перекладине
deadlift-bounces-stretch;Deadlift Bounces Stretch;Пружинящая растяжка в положении становой тяги
decline-push-up;Decline Push Up;Отжимание с ногами на возвышении
depth-jump;Depth Jump;Прыжок в глубину
diamond-push-ups;Diamond Push Ups;Алмазные отжимания
dorsal-flexion-hold;Dorsal Flexion Hold;Удержание тыльного сгибания
double-pigeon-pose;Double Pigeon Pose;Поза двойного голубя
downward-dog;Downward Dog;Собака мордой вниз
downward-dog-toe-to-heel;Downward Dog Toe To Heel;Собака мордой вниз с перекатом с носка на пятку
downward-dog-with-fingers-facing-feet;Downward Dog With Fingers Facing Feet;Собака мордой вниз с пальцами рук к стопам
dumbbell-alternating-arnold-press;Dumbbell Alternating Arnold Press;Поочерёдный жим Арнольда с гантелями
dumbbell-alternating-forward-lunge;Dumbbell Alternating Forward Lunge;Поочерёдный выпад вперёд с гантелями
dumbbell-alternating-lateral-lunge;Dumbbell Alternating Lateral Lunge;Поочерёдный боковой выпад с гантелями
dumbbell-alternating-overhead-press;Dumbbell Alternating Overhead Press;Поочерёдный жим над головой с гантелями
dumbbell-alternating-pendlay-row;Dumbbell Alternating Pendlay Row;Поочерёдный тяга Пендлея с гантелями
dumbbell-alternating-rear-delt-fly;Dumbbell Alternating Rear Delt Fly;Поочерёдный разведение рук на заднюю дельту с гантелями
dumbbell-alternating-reverse-lunge;Dumbbell Alternating Reverse Lunge;Поочерёдный обратный выпад с гантелями
dumbbell-alternating-single-arm-press;Dumbbell Alternating Single Arm Press;Поочерёдный одной рукой жим с гантелью
dumbbell-alternating-single-arm-thruster;Dumbbell Alternating Single Arm Thruster;Поочерёдный одной рукой трастер с гантелью
dumbbell-arnold-press;Dumbbell Arnold Press;Жим Арнольда с гантелями
dumbbell-assisted-bulgarian-split-squat;Dumbbell Assisted Bulgarian Split Squat;Болгарский сплит-присед с поддержкой с гантелями
dumbbell-bayesian-lateral-raise;Dumbbell Bayesian Lateral Raise;По Байесу подъём рук в стороны с гантелями
dumbbell-bench-braced-flat-curl;Dumbbell Bench Braced Flat Curl;На скамье с опорой на горизонтальной скамье сгибание рук с гантелями
dumbbell-bench-braced-hammer-flat-curl;Dumbbell Bench Braced Hammer Flat Curl;На скамье с опорой молотковый на горизонтальной скамье сгибание рук с гантелями
dumbbell-bench-braced-hammer-incline-curl;Dumbbell Bench Braced Hammer Incline Curl;На скамье с опорой молотковый на наклонной скамье сгибание рук с гантелями
dumbbell-bench-braced-incline-curl;Dumbbell Bench Braced Incline Curl;На скамье с опорой на наклонной скамье сгибание рук с гантелями
dumbbell-bench-braced-reverse-flat-curl;Dumbbell Bench Braced Reverse Flat Curl;На скамье с опорой обратный на горизонтальной скамье сгибание рук с гантелями
dumbbell-bench-braced-reverse-incline-curl;Dumbbell Bench Braced Reverse Incline Curl;На скамье с опорой обратный на наклонной скамье сгибание рук с гантелями
dumbbell-bench-braced-rolling-curl;Dumbbell Bench Braced Rolling Curl;На скамье с опорой сгибание рук с прокатом с гантелями
dumbbell-bench-braced-single-arm-overhead-tricep-extension;Dumbbell Bench Braced Single Arm Overhead Tricep Extension;На скамье с опорой одной рукой разгибание рук на трицепс над головой с гантелью
dumbbell-bench-press;Dumbbell Bench Press;Жим лёжа с гантелями
dumbbell-bench-wrist-curl;Dumbbell Bench Wrist Curl;На скамье сгибание запястий с гантелями
dumbbell-bench-wrist-extension;Dumbbell Bench Wrist Extension;На скамье разгибание запястий с гантелями
dumbbell-bent-arm-lateral-raise;Dumbbell Bent Arm Lateral Raise;С согнутой рукой подъём рук в стороны с гантелями
dumbbell-box-squat;Dumbbell Box Squat;Приседание на бокс с гантелями
dumbbell-bulgarian-split-squat;Dumbbell Bulgarian Split Squat;Болгарский сплит-присед с гантелями
dumbbell-calf-raise;Dumbbell Calf Raise;Подъём на носки с гантелями
dumbbell-chest-fly;Dumbbell Chest Fly;Разведение рук на грудь с гантелями
dumbbell-clean-and-press;Dumbbell Clean And Press;Взятие на грудь и жим с гантелями
dumbbell-concentration-curl;Dumbbell Concentration Curl;Концентрированное сгибание рук с гантелями
dumbbell-cross-body-romanian-deadlift;Dumbbell Cross Body Romanian Deadlift;Перекрёстный корпус румынская становая тяга с гантелями
dumbbell-crunch;Dumbbell Crunch;Скручивание с гантелями
dumbbell-cuban-press;Dumbbell Cuban Press;Кубинский жим с гантелями
dumbbell-curl;Dumbbell Curl;Сгибание рук с гантелями
dumbbell-curtsy-deficit-lunge;Dumbbell Curtsy Deficit Lunge;Выпад-реверанс с дефицитом с гантелями
dumbbell-decline-alternating-single-arm-press;Dumbbell Decline Alternating Single Arm Press;На скамье с отрицательным наклоном поочерёдный одной рукой жим с гантелью
dumbbell-decline-bench-press;Dumbbell Decline Bench Press;Жим лёжа на скамье с отрицательным наклоном с гантелями
dumbbell-decline-chest-fly;Dumbbell Decline Chest Fly;На скамье с отрицательным наклоном разведение рук на грудь с гантелями
dumbbell-decline-guillotine-bench-press;Dumbbell Decline Guillotine Bench Press;На скамье с отрицательным наклоном жим «гильотина» лёжа с гантелями
dumbbell-decline-neutral-bench-press;Dumbbell Decline Neutral Bench Press;На скамье с отрицательным наклоном нейтральным хватом жим лёжа с гантелями
dumbbell-decline-single-arm-bench-press;Dumbbell Decline Single Arm Bench Press;На скамье с отрицательным наклоном одной рукой жим лёжа с гантелью
dumbbell-decline-skullcrusher;Dumbbell Decline Skullcrusher;На скамье с отрицательным наклоном французский жим лёжа с гантелями
dumbbell-decline-squeeze-press;Dumbbell Decline Squeeze Press;На скамье с отрицательным наклоном сведение жим с гантелями
dumbbell-deficit-reverse-lunge;Dumbbell Deficit Reverse Lunge;С дефицитом обратный выпад с гантелями
dumbbell-drag-curl;Dumbbell Drag Curl;Сгибание рук вдоль тела с гантелями
dumbbell-elbow-side-plank;Dumbbell Elbow Side Plank;Локтя боковая планка с гантелями
dumbbell-elevated-pushup;Dumbbell Elevated Pushup;На возвышении отжимание с гантелями
dumbbell-external-rotation;Dumbbell External Rotation;Внешняя ротация с гантелями
dumbbell-farmer-walk;Dumbbell Farmer Walk;Прогулка фермера с гантелями
dumbbell-feet-down-russian-twist;Dumbbell Feet Down Russian Twist;Стоп вниз скручивание с поворотом с гантелями
dumbbell-feet-elevated-figure-four-glute-bridge;Dumbbell Feet Elevated Figure Four Glute Bridge;Стоп на возвышении ягодичный мост в положении «четвёрка» с гантелями
dumbbell-feet-elevated-glute-bridge;Dumbbell Feet Elevated Glute Bridge;Стоп на возвышении ягодичный мост с гантелями
dumbbell-feet-elevated-single-leg-glute-bridge;Dumbbell Feet Elevated Single Leg Glute Bridge;Стоп на возвышении одной ноги ягодичный мост с гантелями
dumbbell-feet-elevated-staggered-glute-bridge;Dumbbell Feet Elevated Staggered Glute Bridge;Стоп на возвышении со смещённой стойкой ягодичный мост с гантелями
dumbbell-figure-four-glute-bridge;Dumbbell Figure Four Glute Bridge;Ягодичный мост в положении «четвёрка» с гантелями
dumbbell-figure-four-heels-elevated-hip-thrust;Dumbbell Figure Four Heels Elevated Hip Thrust;В положении «четвёрка» пяток на возвышении ягодичный мост с опорой плечами с гантелями
dumbbell-figure-four-hip-thrust;Dumbbell Figure Four Hip Thrust;Ягодичный мост с опорой плечами в положении «четвёрка» с гантелями
dumbbell-flat-preacher-curl;Dumbbell Flat Preacher Curl;На горизонтальной скамье сгибание рук на скамье Скотта с гантелями
dumbbell-floor-fly;Dumbbell Floor Fly;Разведение рук лёжа на полу с гантелями
dumbbell-floor-press;Dumbbell Floor Press;Жим с пола с гантелями
dumbbell-forward-lunge;Dumbbell Forward Lunge;Выпад вперёд с гантелями
dumbbell-front-rack-curtsy-deficit-lunge;Dumbbell Front Rack Curtsy Deficit Lunge;Вперёд на стойке выпад-реверанс с дефицитом с гантелями
dumbbell-front-rack-deficit-reverse-lunge;Dumbbell Front Rack Deficit Reverse Lunge;Вперёд на стойке с дефицитом обратный выпад с гантелями
dumbbell-front-rack-pause-squat;Dumbbell Front Rack Pause Squat;Вперёд на стойке приседание с паузой с гантелями
dumbbell-front-rack-squat;Dumbbell Front Rack Squat;Вперёд на стойке приседание с гантелями
dumbbell-front-rack-stability-ball-wall-squat;Dumbbell Front Rack Stability Ball Wall Squat;Вперёд на стойке на фитболе приседание у стены с гантелями
dumbbell-front-rack-step-up;Dumbbell Front Rack Step Up;Вперёд на стойке подъём на платформу с гантелями
dumbbell-front-rack-step-up-knee-drive;Dumbbell Front Rack Step Up Knee Drive;Вперёд на стойке подъём на платформу с подъёмом колена с гантелями
dumbbell-front-raise;Dumbbell Front Raise;Подъём рук перед собой с гантелями
dumbbell-full-front-raise;Dumbbell Full Front Raise;Полный подъём рук перед собой с гантелями
dumbbell-full-lateral-raise;Dumbbell Full Lateral Raise;Полный подъём рук в стороны с гантелями
dumbbell-glute-bridge;Dumbbell Glute Bridge;Ягодичный мост с гантелями
dumbbell-goblet-alternating-curtsy-lunge;Dumbbell Goblet Alternating Curtsy Lunge;Гоблет поочерёдный выпад-реверанс с гантелями
dumbbell-goblet-bulgarian-split-squat;Dumbbell Goblet Bulgarian Split Squat;Гоблет болгарский сплит-присед с гантелями
dumbbell-goblet-curtsy-deficit-lunge;Dumbbell Goblet Curtsy Deficit Lunge;Гоблет выпад-реверанс с дефицитом с гантелями
dumbbell-goblet-curtsy-lunge;Dumbbell Goblet Curtsy Lunge;Гоблет выпад-реверанс с гантелями
dumbbell-goblet-deficit-reverse-lunge;Dumbbell Goblet Deficit Reverse Lunge;Гоблет с дефицитом обратный выпад с гантелями
dumbbell-goblet-forward-lunge;Dumbbell Goblet Forward Lunge;Гоблет выпад вперёд с гантелями
dumbbell-goblet-good-morning;Dumbbell Goblet Good Morning;Гоблет наклон «доброе утро» с гантелями
dumbbell-goblet-lateral-lunge;Dumbbell Goblet Lateral Lunge;Гоблет боковой выпад с гантелями
dumbbell-goblet-pulse-squat;Dumbbell Goblet Pulse Squat;Гоблет пульсирующее приседание с гантелями
dumbbell-goblet-reverse-lunge;Dumbbell Goblet Reverse Lunge;Гоблет обратный выпад с гантелями
dumbbell-goblet-side-step-up;Dumbbell Goblet Side Step Up;Гоблет боковой подъём на платформу с гантелями
dumbbell-goblet-split-squat;Dumbbell Goblet Split Squat;Гоблет сплит-присед с гантелями
dumbbell-goblet-squat;Dumbbell Goblet Squat;Гоблет-приседание с гантелями
dumbbell-goblet-step-up;Dumbbell Goblet Step Up;Гоблет подъём на платформу с гантелями
dumbbell-guillotine-bench-press;Dumbbell Guillotine Bench Press;Жим «гильотина» лёжа с гантелями
dumbbell-guillotine-incline-bench-press;Dumbbell Guillotine Incline Bench Press;«гильотина» жим лёжа на наклонной скамье с гантелями
dumbbell-half-kneeling-goblet-romanian-deadlift;Dumbbell Half Kneeling Goblet Romanian Deadlift;На одном колене гоблет румынская становая тяга с гантелями
dumbbell-half-kneeling-overhead-press;Dumbbell Half Kneeling Overhead Press;На одном колене жим над головой с гантелями
dumbbell-half-kneeling-romanian-deadlift;Dumbbell Half Kneeling Romanian Deadlift;На одном колене румынская становая тяга с гантелями
dumbbell-half-kneeling-single-arm-overhead-press;Dumbbell Half Kneeling Single Arm Overhead Press;На одном колене одной рукой жим над головой с гантелью
dumbbell-half-kneeling-wood-chopper;Dumbbell Half Kneeling Wood Chopper;На одном колене дровосек с гантелями
dumbbell-hammer-curl;Dumbbell Hammer Curl;Молотковое сгибание рук с гантелями
dumbbell-hand-side-plank;Dumbbell Hand Side Plank;На руках боковая планка с гантелями
dumbbell-hang-clean-and-press;Dumbbell Hang Clean And Press;Взятие на грудь с виса и жим с гантелями
dumbbell-head-on-bench-rear-delt-fly;Dumbbell Head On Bench Rear Delt Fly;Головы на на скамье разведение рук на заднюю дельту с гантелями
dumbbell-heels-elevated-hip-thrust;Dumbbell Heels Elevated Hip Thrust;Пяток на возвышении ягодичный мост с опорой плечами с гантелями
dumbbell-heels-up-goblet-squat;Dumbbell Heels Up Goblet Squat;Пяток вверх гоблет-приседание с гантелями
dumbbell-heels-up-narrow-goblet-squat;Dumbbell Heels Up Narrow Goblet Squat;Пяток вверх узкий гоблет-приседание с гантелями
dumbbell-high-incline-bench-press;Dumbbell High Incline Bench Press;Верхний жим лёжа на наклонной скамье с гантелями
